Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-06-43_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-43_240.PNG;5,527696;5,511290;5,485082;5,457697;25,201913;25,960689;25,345823;-113,619491;4,304919;4,309818;4,304190;4,314549;2,206262;2,145974;2,194704;12,003518
12-06-43_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-43_740.PNG;5,527714;5,511587;5,485380;5,458134;25,204793;25,956865;25,352639;-113,205523;4,304917;4,309778;4,304151;4,314491;2,206030;2,146274;2,194158;12,003486
12-06-44_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-44_240.PNG;5,527949;5,511425;5,485380;5,458057;25,199396;25,946757;25,359278;-113,153616;4,304886;4,309800;4,304151;4,314502;2,206465;2,147067;2,193626;12,003482
12-06-44_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-44_740.PNG;5,527881;5,511145;5,485330;5,457899;25,187984;25,940663;25,365770;-112,892585;4,304894;4,309837;4,304157;4,314522;2,207384;2,147545;2,193107;12,003460
12-06-45_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-45_240.PNG;5,528021;5,511483;5,485389;5,458345;25,172413;25,938004;25,365465;-112,864173;4,304876;4,309792;4,304149;4,314463;2,208638;2,147753;2,193131;12,003458
12-06-45_739;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-45_739.PNG;5,527989;5,511366;5,485294;5,457990;25,162313;25,936166;25,362204;-112,689157;4,304880;4,309808;4,304162;4,314510;2,209453;2,147898;2,193392;12,003443
12-06-46_238;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-46_238.PNG;5,527791;5,511434;5,485353;5,458111;25,157087;25,932877;25,360134;-112,640923;4,304906;4,309799;4,304154;4,314494;2,209874;2,148156;2,193558;12,003439
12-06-46_739;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-46_739.PNG;5,527624;5,511186;5,485664;5,458251;25,144370;25,929284;25,343695;-112,935421;4,304928;4,309832;4,304113;4,314476;2,210900;2,148438;2,194874;12,003464
12-06-47_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-47_240.PNG;5,527827;5,511537;5,484978;5,458210;25,119616;25,923908;25,321541;-113,447857;4,304902;4,309785;4,304204;4,314481;2,212898;2,148860;2,196650;12,003505
12-06-47_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-47_740.PNG;5,527849;5,510970;5,485371;5,457638;25,102621;25,920514;25,301581;-113,635306;4,304899;4,309860;4,304152;4,314557;2,214270;2,149126;2,198251;12,003519
12-06-48_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-48_240.PNG;5,528228;5,511456;5,485362;5,457818;25,078943;25,916521;25,285250;-113,153616;4,304849;4,309796;4,304153;4,314533;2,216184;2,149440;2,199562;12,003482
12-06-48_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-48_740.PNG;5,528088;5,511492;5,485330;5,457926;25,061000;25,912103;25,271629;-113,058228;4,304867;4,309791;4,304157;4,314519;2,217636;2,149786;2,200655;12,003474
12-06-49_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-49_240.PNG;5,528057;5,511659;5,485317;5,458012;25,056684;25,907390;25,263512;-112,921113;4,304871;4,309769;4,304159;4,314508;2,217985;2,150157;2,201308;12,003462
12-06-49_739;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-49_739.PNG;5,527949;5,511150;5,485335;5,457886;25,046750;25,907345;25,247477;-112,971318;4,304886;4,309836;4,304157;4,314524;2,218789;2,150160;2,202596;12,003467
12-06-50_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-50_240.PNG;5,528156;5,511488;5,485113;5,458093;25,036098;25,905820;25,231962;-112,885472;4,304858;4,309792;4,304186;4,314497;2,219651;2,150280;2,203844;12,003459
12-06-50_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-50_740.PNG;5,527691;5,511326;5,485439;5,457981;25,031579;25,903399;25,229243;-112,878365;4,304919;4,309813;4,304143;4,314512;2,220017;2,150470;2,204062;12,003459
12-06-51_239;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-51_239.PNG;5,527822;5,511623;5,485190;5,458120;25,034088;25,903156;25,226160;-113,533144;4,304902;4,309774;4,304176;4,314493;2,219814;2,150489;2,204310;12,003511
12-06-51_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-51_740.PNG;5,528192;5,511519;5,485506;5,458017;25,038284;25,904090;25,216012;-113,486494;4,304853;4,309787;4,304134;4,314507;2,219474;2,150416;2,205127;12,003508
12-06-52_239;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-52_239.PNG;5,527872;5,511668;5,485538;5,458057;25,037916;25,905160;25,205948;-112,885472;4,304896;4,309768;4,304130;4,314502;2,219504;2,150332;2,205937;12,003459
12-06-52_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-52_740.PNG;5,528237;5,511398;5,485493;5,458165;25,027326;25,904871;25,193423;-113,021884;4,304847;4,309804;4,304136;4,314487;2,220362;2,150355;2,206946;12,003471
12-06-53_239;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-53_239.PNG;5,528102;5,511912;5,485055;5,458206;25,019469;25,901396;25,181104;-113,502009;4,304865;4,309736;4,304194;4,314482;2,220999;2,150628;2,207938;12,003509
12-06-53_739;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-53_739.PNG;5,527773;5,511619;5,485448;5,457985;25,016431;25,899431;25,175312;-112,828819;4,304909;4,309774;4,304142;4,314511;2,221245;2,150782;2,208405;12,003455
12-06-54_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-54_240.PNG;5,527976;5,511740;5,485272;5,458143;25,014166;25,899143;25,172487;-113,227888;4,304882;4,309758;4,304165;4,314490;2,221428;2,150805;2,208632;12,003487
12-06-54_739;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-54_739.PNG;5,528264;5,511605;5,485294;5,457881;25,009239;25,899545;25,155927;-113,509780;4,304844;4,309776;4,304162;4,314525;2,221828;2,150773;2,209968;12,003510
12-06-55_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-55_240.PNG;5,527691;5,511754;5,485267;5,458134;25,008084;25,899424;25,137640;-113,000168;4,304919;4,309756;4,304166;4,314491;2,221921;2,150782;2,211443;12,003469
12-06-55_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-55_740.PNG;5,528102;5,511326;5,485150;5,458125;25,008003;25,899795;25,133844;-112,878365;4,304865;4,309813;4,304181;4,314493;2,221928;2,150753;2,211749;12,003459
12-06-56_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-56_240.PNG;5,528152;5,511659;5,485574;5,458224;25,010334;25,900713;25,133356;-113,212970;4,304859;4,309769;4,304125;4,314479;2,221739;2,150681;2,211788;12,003486
12-06-56_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-56_740.PNG;5,527858;5,511294;5,485204;5,458372;25,011298;25,900971;25,120930;-112,928263;4,304897;4,309817;4,304174;4,314460;2,221661;2,150661;2,212792;12,003463
12-06-57_239;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-57_239.PNG;5,528039;5,511384;5,485285;5,457904;25,004857;25,900137;25,114486;-113,058228;4,304874;4,309805;4,304163;4,314522;2,222183;2,150726;2,213312;12,003474
12-06-57_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-57_740.PNG;5,527908;5,511700;5,485384;5,458296;24,994786;25,898278;25,111239;-113,540950;4,304891;4,309764;4,304150;4,314470;2,222999;2,150872;2,213574;12,003512
12-06-58_240;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-58_240.PNG;5,527949;5,511605;5,485272;5,458138;24,984961;25,899553;25,103890;-113,295414;4,304886;4,309776;4,304165;4,314491;2,223796;2,150772;2,214168;12,003493
12-06-58_740;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_10/Images/12-06-58_740.PNG;5,527732;5,511434;5,484983;5,458165;24,974472;25,897853;25,093328;-113,036399;4,304914;4,309799;4,304203;4,314487;2,224648;2,150906;2,215021;12,003472
