Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
18-46-53_353;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-53_353.PNG;29,992760;NaN;26,610336;26,434072;-3,468394;-3,380325;-3,410645;-3,581436;1,922324;12,005945;2,110741;2,123432;5,784274;5,769834;5,774804;5,802826
18-46-53_853;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-53_853.PNG;29,771901;NaN;26,613015;26,435793;-3,468140;-3,380682;-3,410837;-3,581080;1,936793;12,005881;2,110546;2,123306;5,784232;5,769893;5,774836;5,802768
18-46-54_361;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-54_361.PNG;29,999683;NaN;26,626649;26,436747;-3,468568;-3,380976;-3,410230;-3,581189;1,921873;12,005932;2,109558;2,123236;5,784303;5,769941;5,774736;5,802786
18-46-54_853;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-54_853.PNG;30,053191;NaN;26,637172;26,431324;-3,468467;-3,379609;-3,409845;-3,581280;1,918385;12,005894;2,108795;2,123633;5,784286;5,769717;5,774673;5,802800
18-46-55_353;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-55_353.PNG;30,082711;NaN;26,644549;26,426791;-3,468645;-3,378460;-3,409892;-3,581044;1,916463;12,005965;2,108260;2,123964;5,784315;5,769528;5,774681;5,802762
18-46-55_853;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-55_853.PNG;30,100360;NaN;26,650241;26,423098;-3,468645;-3,378507;-3,409776;-3,581102;1,915315;12,005907;2,107847;2,124234;5,784315;5,769536;5,774662;5,802771
18-46-56_353;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-56_353.PNG;30,038515;NaN;26,644590;26,422902;-3,468481;-3,378023;-3,410463;-3,581225;1,919341;12,005928;2,108257;2,124248;5,784288;5,769457;5,774774;5,802791
18-46-56_853;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-56_853.PNG;30,068057;NaN;26,640404;26,423236;-3,468227;-3,378154;-3,410597;-3,581124;1,917417;12,005982;2,108560;2,124224;5,784247;5,769478;5,774796;5,802775
18-46-57_354;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-57_354.PNG;30,090966;NaN;26,644960;26,425747;-3,468071;-3,379671;-3,410118;-3,581007;1,915926;12,005910;2,108230;2,124040;5,784221;5,769727;5,774718;5,802756
18-46-57_853;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Calibration_26/Images/18-46-57_853.PNG;29,744023;NaN;26,650825;26,429098;-3,467911;-3,380973;-3,410826;-3,581076;1,938627;12,005949;2,107805;2,123795;5,784195;5,769940;5,774834;5,802767
